"Marca temporal","¿Cuál es tu rango de edad?","¿Con qué género te identificas?","¿Cuál es tu situación laboral actual?","¿Qué dispositivos tecnológicos usas con frecuencia?","¿Cuáles son tus principales actividades en internet?","¿Cuál es tu principal medio para conectarte a internet?","¿Qué valoras más en un servicio de telecomunicaciones?","¿Qué marcas de tecnología prefieres?  ","¿Cómo te defines en tu estilo de vida?"
"2025/04/16 4:51:06 p.m. GMT-5","36-50 años","Masculino","Empleado/a de empresa privada","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio","Datos móviles (celular)","Velocidad de conexión","Samsung","Social/conectado con amigos y familia"
"2025/04/16 4:52:15 p.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone;Laptop","Trabajo/Estudio;Entretenimiento (streaming, videos, música);Juegos en línea","Wi-Fi en casa","Precios bajos","Samsung","Práctico/busca lo esencial"
"2025/04/16 4:55:21 p.m. GMT-5","26-35 años","Femenino","Dueño/a de negocio","Smartphone;Laptop;Tablet","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio","Datos móviles (celular)","Velocidad de conexión","Apple","Ahorrador/consciente de gastos"
"2025/04/16 5:53:23 p.m. GMT-5","Más de 50 años","Masculino","Trabajador/a independiente","Smartphone","Trabajo/Estudio","Wi-Fi en casa","Atención al cliente","Samsung","Práctico/busca lo esencial"
"2025/04/16 6:01:33 p.m. GMT-5","Más de 50 años","Femenino","Empleado/a público","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música)","Datos móviles (celular)","Velocidad de conexión","Huawei","Social/conectado con amigos y familia"
"2025/04/16 6:10:32 p.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone;Laptop;Smart TV","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Entretenimiento (streaming, videos, música);Compras online;Juegos en línea","Datos móviles (celular)","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
"2025/04/16 6:14:37 p.m. GMT-5","Más de 50 años","Masculino","Empleado/a de empresa privada","Smartphone;Laptop;Smart TV","Trabajo/Estudio","Wi-Fi en casa","Velocidad de conexión","Apple","Ahorrador/consciente de gastos"
"2025/04/16 6:23:26 p.m. GMT-5","18-25 años","Femenino","Estudiante","Smartphone","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio","Datos móviles (celular)","Velocidad de conexión","Samsung","Tecnológico/adicto a las novedades"
"2025/04/16 6:26:20 p.m. GMT-5","36-50 años","Masculino","Trabajador/a independiente","Smartphone","Redes sociales (Instagram, TikTok, etc.)","Datos móviles (celular)","Velocidad de conexión","Apple","Tecnológico/adicto a las novedades"
"2025/04/16 6:27:48 p.m. GMT-5","18-25 años","Masculino","Estudiante","Smartphone;Laptop","Redes sociales (Instagram, TikTok, etc.);Trabajo/Estudio;Juegos en línea","Wi-Fi en casa","Velocidad de conexión","Samsung","Práctico/busca lo esencial"
