edad,genero,sit_laboral,conex_internet,car_valorada,marca_pref,est_vida,Smartphone,Laptop,Tablet,PC,Consola de videojuegos,Smart TV,Redes sociales,Trabajo/Estudio,Entretenimiento,Juegos en línea,Compras online
36-50 años,Masculino,Empleado/a de empresa privada,Datos móviles (celular),Velocidad de conexión,Samsung,Social/conectado con amigos y familia,1,0,0,0,0,0,1,1,0,0,0
18-25 años,Femenino,Estudiante,Wi-Fi en casa,Precios bajos,Samsung,Práctico/busca lo esencial,1,1,0,0,0,0,0,1,1,1,0
26-35 años,Femenino,Dueño/a de negocio,Datos móviles (celular),Velocidad de conexión,Apple,Ahorrador/consciente de gastos,1,1,1,0,0,0,1,1,0,0,0
Más de 50 años,Masculino,Trabajador/a independiente,Wi-Fi en casa,Atención al cliente,Samsung,Práctico/busca lo esencial,1,0,0,0,0,0,0,1,0,0,0
Más de 50 años,Femenino,Empleado/a público,Datos móviles (celular),Velocidad de conexión,Huawei,Social/conectado con amigos y familia,1,0,0,0,0,0,1,1,1,0,0
18-25 años,Femenino,Estudiante,Datos móviles (celular),Velocidad de conexión,Samsung,Práctico/busca lo esencial,1,1,0,0,0,1,1,1,1,1,1
Más de 50 años,Masculino,Empleado/a de empresa privada,Wi-Fi en casa,Velocidad de conexión,Apple,Ahorrador/consciente de gastos,1,1,0,0,0,1,0,1,0,0,0
18-25 años,Femenino,Estudiante,Datos móviles (celular),Velocidad de conexión,Samsung,Tecnológico/adicto a las novedades,1,0,0,0,0,0,1,1,0,0,0
36-50 años,Masculino,Trabajador/a independiente,Datos móviles (celular),Velocidad de conexión,Apple,Tecnológico/adicto a las novedades,1,0,0,0,0,0,1,0,0,0,0
18-25 años,Masculino,Estudiante,Wi-Fi en casa,Velocidad de conexión,Samsung,Práctico/busca lo esencial,1,1,0,0,0,0,1,1,0,1,0
26-35 años,Masculino,Empleado/a de empresa privada,Wi-Fi en casa,Velocidad de conexión,Apple,Ahorrador/consciente de gastos,1,1,0,0,0,1,1,1,1,1,0
18-25 años,Femenino,Estudiante,Wi-Fi en casa,Velocidad de conexión,Samsung,Práctico/busca lo esencial,1,1,0,0,0,0,1,1,1,0,0
